"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CAAP1",0.11939154971497,0.628905688200311,0.282,0.27,1
"CCDC34",0.119529615535032,0.169252136474434,0.245,0.268,1
"WDR12",0.119592076892522,0.329292475435574,0.368,0.366,1
"AGBL4",0.119750734161074,1.01552180148313,0.047,0.038,1
"LOC440518",0.11992183566514,-1.34773005413072,0.008,0.012,1
"TEX35",0.119954134221212,-0.323545485314229,0.031,0.038,1
"C5orf64",0.120064833037208,0.606745442399983,0.556,0.571,1
"GKAP1",0.120113471470571,0.142969208252245,0.143,0.13,1
"ZNF542",0.120168307682158,0.709448144828323,0.585,0.607,1
"LINC00441",0.120388102238577,0.693196689685011,0.03,0.023,1
"TRIP11",0.120443506067147,0.4370179939149,0.494,0.49,1
"RILPL2",0.120542865189488,0.882841834794263,0.084,0.073,1
"C9orf24",0.120556300315101,1.66257624419298,0.036,0.029,1
"IPP",0.120617983529858,0.647627279907752,0.323,0.315,1
"TOMM7",0.120768918836325,0.232197652776075,0.845,0.821,1
"LOC283335",0.120896482700521,0.622390539397206,0.528,0.584,1
"CNOT7",0.120994972447119,0.214460312639036,0.756,0.809,1
"ARMC2",0.121149473897678,0.421290489180852,0.127,0.143,1
"ARHGAP30",0.121171242710827,1.04709484866518,0.09,0.079,1
"MBD1",0.121172325113942,0.356371152604069,0.585,0.599,1
"RPL23P8",0.121324252976188,0.310893783900516,0.011,0.015,1
"OIP5-AS1",0.121351614624625,0.154076599070716,0.67,0.729,1
"C1orf158",0.121444308101579,0.143026002971618,0.009,0.013,1
"OGFOD2",0.121486156164205,0.333038470501198,0.261,0.247,1
"ITPRIP",0.121581594464293,-0.470372433618286,0.161,0.176,1
"KLF17",0.121646570709081,0.758541426213064,0.085,0.098,1
"PYDC1",0.121762759529227,-1.2104257754045,0.008,0.012,1
"ZNF548",0.121925508507755,0.567307139007039,0.831,0.858,1
"SLC22A13",0.122016788075869,0.6186893399826,0.017,0.011,1
"C5orf28",0.122176897793446,0.854056725296056,0.466,0.48,1
"TNR",0.122176952433266,0.165748613615242,0.4,0.412,1
"HMOX1",0.122183979042907,-0.452710515102755,0.036,0.045,1
"HIBCH",0.12231104384155,0.274450177104306,0.446,0.439,1
"FGFR3",0.122436743116503,-2.00400489886793,0.14,0.118,1
"CDH17",0.122515120683224,0.190991066080461,0.141,0.158,1
"C7orf65",0.12271349906668,0.574238153622133,0.21,0.234,1
"UBE2F",0.12284495834219,0.372962356184633,0.501,0.507,1
"RABL3",0.122921186625184,0.244428491848356,0.637,0.689,1
"ZNF546",0.123014052273856,1.01984365964971,0.439,0.452,1
"AWAT1",0.123027304029777,0.128850178105042,0.012,0.008,1
"TCEA2",0.123055048729431,0.134272945870911,0.314,0.345,1
"SSB",0.123105478594069,0.160891856688764,0.829,0.86,1
"FN3KRP",0.123109378695627,0.24407526217499,0.425,0.421,1
"ZNF816-ZNF321P",0.12337790782483,1.20399847319452,0.062,0.053,1
"NME9",0.123487360854071,0.9667614321124,0.084,0.073,1
"TOP1MT",0.123508778229423,0.148256918045066,0.234,0.259,1
"FGF2",0.123526886340949,0.641821626994478,0.164,0.182,1
"FTH1",0.123700927965469,0.332799934201553,0.992,0.998,1
"CASS4",0.123721987025621,0.819133527156015,0.094,0.108,1
"EML5",0.123901592186732,1.03837441021269,0.14,0.127,1
"FAM229A",0.123918569926468,0.381774767055216,0.068,0.058,1
"ESRG",0.124052055742922,0.495040071995794,0.67,0.68,1
"MKRN2",0.124074885443708,0.461474337491499,0.433,0.433,1
"PPT2-EGFL8",0.124188312771695,0.238042564741725,0.126,0.143,1
"LINC00314",0.124294051368772,-0.162973884792084,0.031,0.038,1
"MRS2P2",0.124329092122143,0.184951122137254,0.225,0.248,1
"SYNPO2",0.124385187028762,-0.623180962690889,0.579,0.626,1
"COL4A6",0.124424297121855,0.147515434366096,0.044,0.053,1
"RRNAD1",0.124434501420799,0.186381760667333,0.209,0.228,1
"LOC389765",0.124568209929187,0.606241758084204,0.142,0.129,1
"DIP2B",0.124612033650329,0.103792257720724,0.705,0.733,1
"ARFIP1",0.124634692551478,0.464437233891785,0.367,0.36,1
"WNT5B",0.12464164963046,1.11256985483846,0.034,0.027,1
"MANEAL",0.12469829657489,0.316117685506059,0.737,0.78,1
"LOC338758",0.12474200360917,0.678214995363416,0.133,0.15,1
"MAMDC2",0.124766397195972,-1.09485515820279,0.097,0.108,1
"SYNPO2L",0.124777326975878,0.248183010248849,0.543,0.613,1
"TMC7",0.124826620203421,0.393593460267268,0.4,0.442,1
"TMEM216",0.124872412647618,0.104927008626397,0.179,0.197,1
"C10orf95",0.125191492872233,-1.0393790839839,0.01,0.015,1
"GALE",0.125265043031362,0.229565225112012,0.221,0.246,1
"SLC35E2B",0.125338370586034,0.127757940447025,0.717,0.706,1
"MARCH3",0.125421134428915,-0.245473258689627,0.156,0.143,1
"CLDN18",0.12542579013535,0.569364958164311,0.118,0.134,1
"VPS13A-AS1",0.125701354985281,0.324849009948717,0.061,0.051,1
"CCDC170",0.125758072838123,2.91053434143387,0.232,0.225,1
"LOC285692",0.125812786059329,1.283927964442,0.008,0.012,1
"GEN1",0.126103912389166,0.208886654521197,0.348,0.374,1
"POU2F3",0.12612666721933,0.485677221086277,0.314,0.348,1
"HS6ST1",0.126226145242517,0.351774088150382,0.308,0.298,1
"FLJ38576",0.126317916705072,0.990002532961088,0.016,0.011,1
"C12orf43",0.126439064686957,-0.274378422670398,0.477,0.505,1
"PHKA2-AS1",0.126466290058501,0.507816157884351,0.028,0.021,1
