"gene","logFC","AveExpr","t","pval","padj","B","sig"
"OR7C1",0.0022027469371379,0.00221965272726203,0.95644787003008,0.346893786223078,0.695550649802295,-5.54672846833789,"NS"
"LOC401324",-0.0202921974444374,0.0787147080935987,-0.956240040976514,0.34700243355631,0.695701781880227,-5.54690982058019,"NS"
"ASB12",-0.00519601985700414,0.00628215934335856,-0.956169550590989,0.347037425604843,0.695705228376958,-5.54697308466393,"NS"
"ZNF17",0.0926315790998239,0.505331850966399,0.955998533840352,0.347122329657747,0.695808723115121,-5.54712655158194,"NS"
"DDX43",0.00827863177586741,0.00760614153547176,0.955743601618599,0.34724892076055,0.695995751934657,-5.54735527493251,"NS"
"ABCA3",-0.0953262283744977,0.740942546245309,-0.955446145742674,0.347396666845751,0.696225142056724,-5.5476220781886,"NS"
"FAM179B",-0.142638380344079,0.907740610466156,-0.955234767569666,0.347501683808624,0.696368862061963,-5.54781162684902,"NS"
"ARHGEF4",0.0903296374610848,0.302650441783922,0.955166596942639,0.347535556894536,0.696370000872817,-5.54787274898516,"NS"
"C6",-0.00460425197800942,0.0040287796787508,-0.955059578544394,0.347588737388372,0.696409822734139,-5.5479686940159,"NS"
"TSTA3",-0.148201938354049,1.33353938370257,-0.954834407874889,0.347700648918746,0.696455339673326,-5.54817053312432,"NS"
"STAC2",-0.0672230140989217,0.437398093654731,-0.954749763960681,0.347742723827815,0.696455339673326,-5.54824639497572,"NS"
"CTNNA2",0.239036382770221,1.0540390469612,0.954749378767262,0.347742915308065,0.696455339673326,-5.5482467401898,"NS"
"ATP8B3",0.00383455451407487,0.00813655094729143,0.954745806484003,0.347744691099025,0.696455339673326,-5.54824994169849,"NS"
"FPR1",0.00220459473928257,0.00269304497865232,0.954654548682863,0.347784575314612,0.696468507351137,-5.54833691953754,"NS"
"MAPT",0.239491104029287,1.3684588951109,0.954576788640468,0.34782871723577,0.696490198111734,-5.54840140404821,"NS"
